epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.664902,2.19009,5.53866,1.08393,0,0,0,0,1.68556,4.75865,1.03261,1.111e-05,1.111e-05,1.111e-05
2,1.31897,2.31963,5.53628,1.1177,0,0,0,0,1.69215,4.75689,1.0327,3.26701e-05,3.26701e-05,3.26701e-05
3,1.89462,2.25897,5.53127,1.13053,0,0,0,0,1.70866,4.75433,1.03426,5.33502e-05,5.33502e-05,5.33502e-05
4,2.41171,2.122,5.5058,1.11201,0,0,0,0,1.60418,4.6867,0.95966,7.31505e-05,7.31505e-05,7.31505e-05
5,3.05374,1.9223,4.99052,0.92841,0,0,0,0,1.70606,4.67508,0.9554,9.20708e-05,9.20708e-05,9.20708e-05
6,3.68706,1.94762,4.46494,0.91097,0,0,0,0,1.58014,4.61037,0.92771,0.000110111,0.000110111,0.000110111
7,4.36653,1.80451,3.95862,0.88432,0,0,0,0,1.26692,4.53999,0.89457,0.000127272,0.000127272,0.000127272
8,5.01375,1.57187,3.53125,0.86358,0,0,0,0,1.12956,4.48331,0.87285,0.000143552,0.000143552,0.000143552
9,5.68761,1.51179,3.20212,0.85874,0,0,0,0,1.15004,4.45573,0.87234,0.000158953,0.000158953,0.000158953
10,6.35165,1.50477,3.21645,0.84996,0,0,0,0,1.21062,4.42391,0.87701,0.000173474,0.000173474,0.000173474
11,6.94697,1.46411,2.85007,0.83209,0,0,0,0,1.26959,4.39443,0.88004,0.000187115,0.000187115,0.000187115
12,7.62589,1.48986,2.90641,0.82502,0,0,0,0,1.28262,4.37927,0.87918,0.000199876,0.000199876,0.000199876
13,8.26126,1.49629,2.74676,0.84419,0,0,0,0,1.30513,4.35347,0.88118,0.000211757,0.000211757,0.000211757
14,8.86361,1.36163,2.80495,0.84258,0,0,0,0,1.23852,4.29572,0.87362,0.000222758,0.000222758,0.000222758
15,9.53023,1.37041,2.69296,0.82962,0,0,0,0,1.12465,4.23937,0.86049,0.000232879,0.000232879,0.000232879
16,10.1962,1.34315,2.50834,0.84016,0,0,0,0,1.06597,4.17953,0.85298,0.00024212,0.00024212,0.00024212
17,10.8031,1.36174,2.3807,0.83313,0,0,0,0,1.10985,4.12896,0.85197,0.000250482,0.000250482,0.000250482
18,11.5209,1.27419,2.38507,0.83038,0,0,0,0,1.12478,4.09602,0.84911,0.000257963,0.000257963,0.000257963
19,12.2099,1.18784,2.25588,0.83168,0.00026,0.025,0.00015,0.00012,1.10486,4.03458,0.84963,0.000264565,0.000264565,0.000264565
20,13.0106,1.24364,2.18058,0.83367,0.00026,0.025,0.02511,0.0226,1.11712,3.96964,0.85434,0.000270286,0.000270286,0.000270286
21,13.6322,1.21445,2.15909,0.84261,0.00124,0.125,0.07559,0.06888,1.11573,3.91379,0.85715,0.000275128,0.000275128,0.000275128
22,14.2975,1.1717,2.00506,0.82804,0.00143,0.15,0.102,0.08808,1.06901,3.86895,0.86007,0.00027909,0.00027909,0.00027909
23,14.9568,1.17891,1.89303,0.82387,0.00164,0.175,0.1439,0.12737,1.10067,3.81227,0.86445,0.000282172,0.000282172,0.000282172
24,15.5987,1.2144,1.97536,0.83305,0.00217,0.1875,0.17577,0.15515,1.11713,3.74779,0.86549,0.000284374,0.000284374,0.000284374
25,16.2478,1.1285,1.91212,0.8177,0.00427,0.2375,0.19759,0.16744,1.06135,3.67571,0.86178,0.000285696,0.000285696,0.000285696
26,16.9281,1.06483,1.80057,0.83557,0.00578,0.275,0.22626,0.18345,1.02134,3.61394,0.85745,0.000286138,0.000286138,0.000286138
27,17.5609,1.08387,1.70715,0.8172,0.00881,0.32667,0.30309,0.24669,0.98145,3.50048,0.8495,0.0002857,0.0002857,0.0002857
28,18.1775,1.08867,1.67684,0.81036,0.00881,0.32667,0.30309,0.24669,0.98145,3.50048,0.8495,0.000284383,0.000284383,0.000284383
29,18.784,1.06811,1.64798,0.81037,0.01587,0.51833,0.42295,0.34409,0.93294,3.36283,0.84423,0.000282185,0.000282185,0.000282185
30,19.4003,1.09225,1.77465,0.81482,0.02012,0.57,0.54782,0.43841,0.91065,3.24066,0.84329,0.000279108,0.000279108,0.000279108
31,20.0164,1.07124,1.63317,0.81527,0.02012,0.57,0.54782,0.43841,0.91065,3.24066,0.84329,0.00027515,0.00027515,0.00027515
32,20.6745,1.05283,1.52878,0.81541,0.0332,0.725,0.65982,0.50631,0.91283,3.13902,0.84514,0.000270313,0.000270313,0.000270313
33,21.3554,1.01413,1.49448,0.81963,0.03482,0.725,0.71663,0.55121,0.88704,3.03226,0.84643,0.000264596,0.000264596,0.000264596
34,21.9672,0.99935,1.55151,0.80024,0.03482,0.725,0.71663,0.55121,0.88704,3.03226,0.84643,0.000257999,0.000257999,0.000257999
35,22.5918,0.99447,1.48389,0.81342,0.03696,0.8,0.73921,0.55446,0.8831,2.93217,0.84557,0.000250522,0.000250522,0.000250522
36,23.2095,0.97064,1.52875,0.81217,0.04072,0.825,0.80363,0.61095,0.88178,2.83141,0.8449,0.000242165,0.000242165,0.000242165
37,23.8389,1.03288,1.50006,0.81819,0.04072,0.825,0.80363,0.61095,0.88178,2.83141,0.8449,0.000232928,0.000232928,0.000232928
38,24.4925,0.91164,1.45519,0.81763,0.05531,0.975,0.93566,0.69596,0.84198,2.7424,0.8445,0.000222811,0.000222811,0.000222811
39,25.1628,0.9946,1.42414,0.81489,0.05604,0.975,0.9588,0.73585,0.8147,2.63939,0.84239,0.000211814,0.000211814,0.000211814
40,25.7994,0.93793,1.48457,0.82595,0.05604,0.975,0.9588,0.73585,0.8147,2.63939,0.84239,0.000199938,0.000199938,0.000199938
41,28.0504,1.01408,1.80739,0.81824,0.06116,1,0.97742,0.75028,0.81625,2.54921,0.84067,0.000187181,0.000187181,0.000187181
42,28.8444,0.92672,1.81077,0.79198,0.06697,1,0.98169,0.72948,0.84389,2.47224,0.8435,0.000173545,0.000173545,0.000173545
43,29.4176,0.89941,1.62843,0.81427,0.06697,1,0.98169,0.72948,0.84389,2.47224,0.8435,0.000159029,0.000159029,0.000159029
44,29.9494,0.86916,1.46954,0.80902,0.46885,1,0.98433,0.7261,0.84832,2.36937,0.84176,0.000143632,0.000143632,0.000143632
45,30.5256,0.85335,1.55429,0.81327,0.46885,1,0.98433,0.7261,0.84832,2.36937,0.84176,0.000127356,0.000127356,0.000127356
46,31.0623,0.88544,1.44277,0.81857,1,0.56713,0.98292,0.73682,0.8552,2.26735,0.843,0.0001102,0.0001102,0.0001102
47,30.8312,0.88178,1.60557,0.81933,1,0.56713,0.98292,0.73682,0.8552,2.26735,0.843,9.21641e-05,9.21641e-05,9.21641e-05
48,31.4352,0.96186,1.67334,0.8091,1,0.40686,0.97805,0.74353,0.85315,2.13726,0.84134,7.32482e-05,7.32482e-05,7.32482e-05
49,32.0025,0.84501,1.46865,0.80539,1,0.40686,0.97805,0.74353,0.85315,2.13726,0.84134,5.34524e-05,5.34524e-05,5.34524e-05
50,32.5626,0.85841,1.47706,0.78727,0.99849,0.41021,0.97444,0.73931,0.84216,2.00288,0.84196,3.27767e-05,3.27767e-05,3.27767e-05
